KEY;default;de;sl;nl;dk;sv
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.slidingHoursPast.title;Number of hours to consider before current hour;Anzahl der zu berücksichtigenden Stunden vor der aktuellen Stunde;Število ur, ki jih je treba upoštevati pred trenutno uro;Aantal uren te beschouwen vóór huidig uur;Antal timer, du skal overveje før den aktuelle time;Antal timmar att tänka på före aktuell timme
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.sprayingProtectionDays.title;Number of days the crop is protected;Anzahl der Tage, an denen die Kultur geschützt ist;Število dni, ko je posevek zaščiten;Aantal dagen dat het gewas beschermd is;Antal dage afgrøden er beskyttet;Antal dagar som grödan är skyddad
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.thresholdHumidPeriodHours.title;Threshold number of hours for a 'wet period';Schwellenwert für die Anzahl der Stunden für eine 'feuchte Periode';"Mejno število ur za ""mokro obdobje""";"Drempel aantal uren voor een ""natte periode""";Tærskel antal timer i en »våd periode«;"Tröskelvärdet för antal timmar under en ""våt period"""
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.thresholdLeafWetness.title;Threshold Leaf wetness for wet hour;Schwellenwert Blattnässe für eine feuchte Stunde;"Prag vlažnosti listov za ""mokro uro""";Drempel bladnatheid voor 'bladnat' uur;Tærskelblads vådhed i våd time;Tröskel för bladfuktighet för våt timme
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.thresholdPrecipitation.title;Threshold precipitation for wet hour;Schwellenwert Niederschlag für eine feuchte Stunde;"Prag padavin za ""mokro uro""";Drempel neerslag voor 'bladnat' uur;Tærskel nedbør for våd time;Tröskel för nederbörd för våt timme
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.thresholdRelativeHumidity.title;Threshold RH for wet hour;Schwellenwert relative Luftfeuchte für eine feuchte Stunde;"Prag relativne vlažnosti za ""mokro uro""";Drempel RH voor bladnat uur;Tærskel RH for våd time;Tröskel RH för våt timme
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.timeZone.title;Time zone (e.g. Europe/Oslo);Zeitzone (z. B. Europa/Oslo);Časovni pas (npr. Evropa/Oslo);Tijdzone (bijv. Europa/Oslo);Tidszone (f.eks. Europa/Oslo);Tidszon (t.ex. Europa/Oslo)
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.title;Configuration parameters;Konfigurationsparameter;Urejanje parametrov;Configuratie parameters;Konfigurationsparametre;Konfigurationsparametrar
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.modelId.description;Must be SEPTORIAHU;Muss SEPTORIAHU sein;Mora biti SEPTORIAHU;Moet SEPTORIAHU zijn;Skal være SEPTORIAHU;Måste vara SEPTORIAHU
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.modelId.title;Model Id;Modell-ID;Id modela;Model-id;Model-id;Modell-ID
dk.seges.1_1.models.SEPTORIAHU.name;Septoria Humidity Model;Septoria-Feuchtigkeitsmodell;Vlažnostni model za pšenično listno pegavost;Septoria vochtigheidsmodel;Septoria Fugtighed Model;Zymoseptoria fuktighetsmodell
dk.seges.1_1.models.SEPTORIAHU.output.chart_groups.G1.title;Disease development;Krankheitsentwicklung;Razvoj bolezni;Ziekte-ontwikkeling;Sygdomsudvikling;Sjukdomsutveckling
dk.seges.1_1.models.SEPTORIAHU.output.chart_heading;Septoria humidity model in wheat;Septoria-Feuchtigkeitsmodell für Weizen;Vlažnostni model za pšenično listno pegavost na pšenici;Septoria vochtigheidsmodel in tarwe;Septoria fugtighedsmodel i hvede;Zymoseptoria fuktighetsmodell i vete
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.HH.description;Current hour is humid hour? 1 = true, 0 = false;Aktuelle Stunde ist feuchte Stunde? 1 = wahr, 0 = falsch;Je trenutna ura mokra ura? 1 = da, 0 = ne;Huidig uur is vochtig uur? 1 = waar, 0 = onwaar;Nuværende time er fugtig time? 1 = sandt, 0 = falsk;Aktuell timme är fuktig timme? 1 = sant, 0 = falskt
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.HH.title;Current hour is humid hour? 1 = true, 0 = false;Aktuelle Stunde ist feuchte Stunde? 1 = wahr, 0 = falsch;Trenutna ura je mokra ura? 1 = da, 0 = ne;Huidig uur is vochtig uur? 1 = waar, 0 = onwaar;Nuværende time er fugtig time? 1 = sandt, 0 = falsk;Aktuell timme är fuktig timme? 1 = sant, 0 = falskt
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.HHS.description;Humid hour sum for sliding middle;Summe feuchter Stunden für das gleitende Mittel;Vsota mokrih ur za drsno sredino;Voortschrijdende som aantal vochtige uren;Fugtig timesum til glidende midte;Fuktig timsumma för glidande mitt
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.HHS.title;Humid hour sum for sliding middle;Summe feuchter Stunden für das gleitende Mittel;Vsota mokrih ur za drsno sredino;Voortschrijdende som aantal vochtige uren;Fugtig timesum til glidende midte;Fuktig timsumma för glidande mitt
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.HPH.description;Humid period hour (consecutive humid hours);Feuchte Periodenstunde (aufeinanderfolgende feuchte Stunden);Trajanje vlažnega obdobja (zaporedne mokre ure);Vochtig periode-uur (opeenvolgende vochtige uren);Fugtig periode time (på hinanden følgende fugtige timer);Fuktig period timme (på varandra följande fuktiga timmar)
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.HPH.title;Humid period hour (consecutive humid hours);Feuchte Periodenstunde (aufeinanderfolgende feuchte Stunden);Trajanje vlažnega obdobja (zaporedne mokre ure);Vochtig periode-uur (opeenvolgende vochtige uren);Fugtig periode time (på hinanden følgende fugtige timer);Fuktig period timme (på varandra följande fuktiga timmar)
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.HPHPP.description;Humid period hour (consecutive humid hours) corrected for protection period;Feuchte Periodenstunde (aufeinanderfolgende feuchte Stunden), korrigiert um die Dauer der Schutzwirkung;Trajanje obdobja vlažnosti (zaporedne mokre ure), popravljena za obdobje zaščite;Vochtig-periode-uur (opeenvolgende vochtige uren) gecorrigeerd voor beschermingsperiode;Fugtig periodetime (på hinanden følgende fugtige timer) korrigeret for beskyttelsesperiode;Fuktig periodtimme (på varandra följande fuktiga timmar) korrigerad för skyddsperiod
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.HPHPP.title;Humid period hour (consecutive humid hours) corrected for protection period;Feuchte Periodenstunde (aufeinanderfolgende feuchte Stunden), korrigiert um die Dauer der Schutzwirkung;Trajanje obdobja vlažnosti (zaporedne mokre ure), popravljena za obdobje zaščite;Vochtig-periode-uur (opeenvolgende vochtige uren) gecorrigeerd voor beschermingsperiode;Fugtig periodetime (på hinanden følgende fugtige timer) korrigeret for beskyttelsesperiode;Fuktig periodtimme (på varandra följande fuktiga timmar) korrigerad för skyddsperiod
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.SPP.description;Indicates the protection period after spraying;Gibt die Dauer der Schutzwirkung nach der Behandlung an;Označuje zaščitno dobo po škropljenju;Geeft de beschermingsperiode na bespuiting aan;Angiver beskyttelsesperioden efter sprøjtning;Indikerar skyddsperioden efter fungicidbehandling
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.SPP.title;Crop is protected after spraying;Die Kultur ist nach einer Behandlung geschützt;Posevek je zaščiten po škropljenju;Gewas is beschermd na bespuiting;Afgrøden er beskyttet efter sprøjtning;Grödan är skyddad efter sprutning
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.THPHPP.description;Threshold for consecutive humid hours;Schwellenwert für aufeinanderfolgende feuchte Stunden;Prag za zaporedne mokre ure;Drempelwaarde voor opeenvolgende vochtige uren;Tærskel for på hinanden følgende fugtige timer;Tröskelvärde för på varandra följande fuktiga timmar
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.THPHPP.title;Threshold for consecutive humid hours;Schwellenwert für aufeinanderfolgende feuchte Stunden;Prag za zaporedne mokre ure;Drempelwaarde voor opeenvolgende vochtige uren;Tærskel for på hinanden følgende fugtige timer;Tröskelvärde för på varandra följande fuktiga timmar
dk.seges.1_1.models.SEPTORIAHU.output.warning_status_interpretation.0.explanation;No warning/out of season;Keine Warnung/außerhalb der Saison;Brez opozorila/izven sezone;Geen waarschuwing/ buiten het seizoen;Ingen advarsel/uden for sæsonen;Ingen varning/utanför säsongen
dk.seges.1_1.models.SEPTORIAHU.output.warning_status_interpretation.0.recommended_action;No action needed;Keine Maßnahmen erforderlich;Ukrepanje ni potrebno;Geen actie nodig;Ingen handling nødvendig;Ingen åtgärd behövs
dk.seges.1_1.models.SEPTORIAHU.output.warning_status_interpretation.1.explanation;Missing data;Fehlende Daten;Manjkajo podatki;Ontbrekende gegevens;Manglende data;Saknade data
dk.seges.1_1.models.SEPTORIAHU.output.warning_status_interpretation.1.recommended_action;Consult your advisory service;Wenden Sie sich an Ihren Beratungsdienst;Posvetujte se s svetovalno službo;Raadpleeg uw adviesdienst;Kontakt din rådgivningstjeneste;Kontakta din rådgivningstjänst
dk.seges.1_1.models.SEPTORIAHU.output.warning_status_interpretation.2.explanation;Based on current observations entered and weather data, the risk of septoria is low. This model runs March-June.  Continue to check for risk updates and monitor crops. Update crop growth stage and date of fungicide applications through the season;Auf der Grundlage der eingegebenen aktuellen Beobachtungen und Wetterdaten ist das Risiko von Septoria gering. Dieses Modell läuft von März bis Juni.  Prüfen Sie weiterhin auf Risikoaktualisierungen und überwachen Sie die Kulturen. Aktualisieren Sie das Entwicklungsstadium der Pflanzen und das Datum der Fungizidanwendungen während der Saison.;Glede na trenutna vnesena opazovanja in vremenske podatke je nevarnost okužbe s pšenično listno pegavostjo majhna. Ta model deluje od marca do junija.  Še naprej preverjajte posodobitve tveganja in spremljajte posevek. Posodabljajte stopnjo rasti pridelka in datum uporabe fungicidov v sezoni.;Op basis van de huidige ingevoerde waarnemingen en weergegevens is het risico op septoria laag. Dit model loopt van maart tot juni.  Blijf controleren op updates van het risico en inspecteer de gewassen. Update het groeistadium van de gewassen en de datum van fungicide toepassingen gedurende het seizoen;Baseret på aktuelle indtastede observationer og vejrdata er risikoen for septoria lav. Denne model kører marts-juni. Fortsæt med at kontrollere, om der er risikoopdateringer, og overvåg afgrøder. Opdater afgrødevækststadiet og datoen for fungicidapplikationer gennem sæsonen;Baserat på aktuella observationer och väderdata är risken för svartpricksjuka låg. Den här modellen körs mars-juni.  Fortsätt att kontrollera riskuppdateringar och övervaka grödor. Uppdatera grödans tillväxtstadium och datum för fungicidbehandlingar under säsongen
dk.seges.1_1.models.SEPTORIAHU.output.warning_status_interpretation.2.recommended_action;Continue to check for risk updates and monitor crops. Update crop growth stage and date of fungicide applications through the season;Prüfen Sie weiterhin, ob die Risiken aktualisiert wurden, und überwachen Sie die Kulturen. Aktualisieren Sie das Entwicklungsstadium der Pflanzen und das Datum der Fungizidanwendungen während der Saison;Še naprej preverjajte posodobitve tveganj in spremljajte posevke. Posodabljajte stopnjo rasti pridelka in datum uporabe fungicidov v sezoni.;Blijf op de hoogte van nieuwe risico's eninspecteer de gewassen. Werk het groeistadium van de gewassen en de datum van fungicidenapplicaties gedurende het seizoen bij;Fortsæt med at kontrollere, om der er risikoopdateringer, og overvåg afgrøder. Opdater afgrødevækststadiet og datoen for fungicidapplikationer gennem sæsonen;Fortsätt att kontrollera riskuppdateringar och övervaka grödor. Uppdatera grödans tillväxtstadium och datum för fungicidbehandlingar under säsongen
dk.seges.1_1.models.SEPTORIAHU.output.warning_status_interpretation.3.explanation;Based on current observations entered and weather data, the risk of septoria is moderate.;Auf der Grundlage der aktuell eingegebenen Beobachtungen und Wetterdaten besteht ein mittleres Septoria-Risiko.;Glede na trenutna vnesena opazovanja in vremenske podatke je tveganje za pojav okužb zmerno.;Op basis van de huidige ingevoerde waarnemingen en weersgegevens is het risico op Septoria matig.;Baseret på aktuelle indtastede observationer og vejrdata er risikoen for septoria moderat.;Baserat på aktuella observationer och väderdata är risken för svartpricksjuka måttlig.
dk.seges.1_1.models.SEPTORIAHU.output.warning_status_interpretation.3.recommended_action;"If the threshold of 20 hours humidity is not  exceeded, but other diseases are assessed to also cause a risk and the crop has not been treated in the last ten days, choose an effective fungicide which also covers  control of septoria. 
This model runs March-June.  Continue to check for risk updates and monitor crops. Update  crop growth stage and date of fungicide applications through the season";"Wenn der Schwellenwert von 20 Stunden Luftfeuchtigkeit nicht überschritten wird, aber andere Krankheiten ebenfalls ein Risiko darstellen und die Kultur in den letzten zehn Tagen nicht behandelt wurde, wählen Sie ein wirksames Fungizid, das auch die Bekämpfung von Septoria abdeckt. 
Dieses Modell läuft von März bis Juni.  Prüfen Sie weiterhin, ob das Risiko aktualisiert wurde, und überwachen Sie die Kulturen. Aktualisieren Sie das Entwicklungsstadium der Pflanzen und das Datum der Fungizidanwendungen während der Saison.";"Če prag 20-urne vlažnosti ni presežen, vendar so ocenjene druge bolezni, ki prav tako povzročajo tveganje, in posevek ni bil tretiran v zadnjih desetih dneh, izberite učinkovit fungicid, ki zajema tudi zatiranje pšenične listne pegavosti. 

Ta model se uporablja od marca do junija.  Še naprej preverjajte posodobitve tveganja in spremljajte posevke. V sezoni posodabljajte fenofazo pridelka in datum uporabe fungicidov.";"Als de drempel van 20 uur luchtvochtigheid niet wordt overschreden, maar andere ziekten ook een risico opleveren en het gewas de afgelopen tien dagen niet is behandeld, kies dan een effectief fungicide dat ook de bestrijding van septoria dekt.
Dit model loopt van maart-juni. Blijf controleren op risico-updates en monitor de gewassen. Update de gewasgroeifase en datum van toepassing van fungiciden gedurende het seizoen";Hvis tærsklen på 20 timers luftfugtighed ikke overskrides, men andre sygdomme vurderes også at medføre en risiko, og afgrøden ikke er blevet behandlet inden for de sidste ti dage, skal du vælge et effektivt fungicid, der også dækker bekæmpelse af septoria. Denne model kører marts-juni. Fortsæt med at kontrollere, om der er risikoopdateringer, og overvåg afgrøder. Opdater afgrødevækststadiet og datoen for fungicidapplikationer gennem sæsonen;Om tröskeln på 20 timmars luftfuktighet inte överskrids, men om det finns risk för andra sjukdomar och grödan inte har behandlats under de senaste tio dagarna, välj en effektiv fungicid som också är effektiv mot svartpricksjuka. Den här modellen körs mars-juni.  Fortsätt att kontrollera riskuppdateringar och övervaka grödor. Uppdatera grödans tillväxtstadium och datum för fungicidbehandlingar under säsongen
dk.seges.1_1.models.SEPTORIAHU.output.warning_status_interpretation.4.explanation;Based on current observations entered and weather data, the risk of septoria is high.;Auf der Grundlage der aktuell eingegebenen Beobachtungen und Wetterdaten besteht ein hohes Septoria-Risiko.;Glede na trenutna vnesena opazovanja in vremenske podatke je tveganje za pojav okužb s pšenično listno pegavost veliko.;Op basis van ingevoerde huidige waarnemingen en weergegevens is het risico op septoria groot.;Baseret på aktuelle indtastede observationer og vejrdata er risikoen for septoria høj.;Baserat på aktuella observationer och väderdata är risken för svartpricksjuka hög.
