KEY;default;dk;de
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.secondFlight_y.title;Second Flight: Parameter y;Anden flyvning: Parameter y;Zweiter Flug: Parameter y
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.startDate.title;Model Start Date/Biofix (YYYY-MM-DD);Model Slutdato (ÅÅÅÅ-MM-DD);Modell Startdatum/Biofix (JJJJ-MM-TT)
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.thirdFlight_a.title;Third Flight: Parameter a;Tredje flyvning: Parameter a;Dritter Flug: Parameter a
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.thirdFlight_b.title;Third Flight: Parameter b;Tredje flyvning: Parameter b;Dritter Flug: Parameter b
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.thirdFlight_y.title;Third Flight: Parameter y;Tredje flyvning: Parameter y;Dritter Flug: Parameter y
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.upper_threshold.title;Upper Temperature Threshold;Maksimum temperatur;Oberer Temperaturschwellenwert
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.title;Optional parameters for the DSS;Valgfrie parametre for DSS;Optionale Parameter für das EHS
adas.dss.0_0_4.models.CARPPO.name;Codling moth flight model;Æblevikler flyvningsmodel;Modell für den Apfelwickler-Flug
adas.dss.0_0_4.models.CARPPO.output.chart_groups.G1.title;Cumulative Captures;Kumulative fangster;Kumulative Fänge
adas.dss.0_0_4.models.CARPPO.output.chart_heading;Cumulative Captures;Kumulative fangster;Kumulative Fänge
adas.dss.0_0_4.models.CARPPO.output.result_parameters.Baseline.description;;;
adas.dss.0_0_4.models.CARPPO.output.result_parameters.Baseline.title;;;
adas.dss.0_0_4.models.CARPPO.output.result_parameters.First_Flight_Cumulative_Captures.description;The cumulative captures of the Codling Moth during their first flight.;De kumulative fangster af æblevikler under deres første flyvning.;Die kumulativen Fänge des Apfelwicklers während seines ersten Fluges.
adas.dss.0_0_4.models.CARPPO.output.result_parameters.First_Flight_Cumulative_Captures.title;First Flight Cumulative Captures;Kumulative fangster fra første flyvning;Erstflug - Kumulative Fänge
adas.dss.0_0_4.models.CARPPO.output.result_parameters.Second_Flight_Cumulative_Captures.description;The cumulative captures of the Codling Moth during their second flight.;De kumulative fangster af æblevikler under deres anden flyvning.;Die kumulativen Fänge des Apfelwicklers während seines zweiten Fluges.
adas.dss.0_0_4.models.CARPPO.output.result_parameters.Second_Flight_Cumulative_Captures.title;Second Flight Cumulative Captures;Kumulative fangster af anden flyvning;Zweitflug -  Kumulative Fänge
adas.dss.0_0_4.models.CARPPO.output.result_parameters.Third_Flight_Cumulative_Captures.description;The cumulative captures of the Codling Moth during their third flight.;De kumulative fangster af æblevikler under deres tredje flyvning.;Die kumulativen Fänge des Apfelwicklers während seines dritten Fluges.
adas.dss.0_0_4.models.CARPPO.output.result_parameters.Third_Flight_Cumulative_Captures.title;Third Flight Cumulative Captures;Kumulative fangster af tredje flyvning;Drittflug -  Kumulative Fänge
adas.dss.0_0_4.models.CARPPO.output.warning_status_interpretation.0.explanation;;;
adas.dss.0_0_4.models.CARPPO.output.warning_status_interpretation.0.recommended_action;;;
adas.dss.0_0_4.models.CARPPO.output.warning_status_interpretation.1.explanation;Missing data.;Manglende data;Fehlende Daten.
adas.dss.0_0_4.models.CARPPO.output.warning_status_interpretation.1.recommended_action;Review error message.;Gennemse fejlmeddelelse.;Überprüfen Sie die Fehlermeldung.
adas.dss.0_0_4.models.CARPPO.output.warning_status_interpretation.2.explanation;This model is currently collecting data to run. Based on current data available, the model results indicate low current risk of new codling moth migration.;Denne model indsamler i øjeblikket data for at kunne køre. Baseret på de foreliggende data indikerer modelresultaterne lav aktuel risiko for ny flyvning.;Für dieses Modell werden noch weitere Daten gesammelt. Auf der Grundlage der derzeit verfügbaren Daten deuten die Modellergebnisse darauf hin, dass das Risiko eines erneuten Zufluges des Apfelwicklers aktuell gering ist.
adas.dss.0_0_4.models.CARPPO.output.warning_status_interpretation.2.recommended_action;This model runs March-August. The risk of start of new (first, second or third) codling moth migration and associated oviposition, is currently low. The 'Cumulative Captures' chart indicates the predicted accumulative proportion (%) of adult males likely to be caught by these dates, associated with the first (green), second (red) or third (blue) flights.;"Denne model kører marts-august. Risikoen for start af ny (første, anden eller tredje) flyvning af æblevikler og tilhørende æglægning, er i øjeblikket lav. Diagrammet ""Kumulative fangster"" angiver den forventede akkumulerende andel (%) af voksne hanner, der sandsynligvis vil blive fanget på disse datoer, i forbindelse med den første (grøn), anden (rød) eller tredje (blå) flyvning. datoer, i forbindelse med den første (grøn), anden (rød) eller tredje (blå) flyvning.";"Dieses Modell läuft von März bis August. Das Risiko des Beginns eines neuen (ersten, zweiten oder dritten) Apfelwicklerzufluges und der damit verbundenen Eiablage ist derzeit gering. Das Diagramm ""Kumulative Fänge"" zeigt den vorhergesagten kumulativen Anteil (%) erwachsener Männchen, die zu diesen Terminen wahrscheinlich gefangen werden, in Verbindung mit dem ersten (grün), zweiten (rot) oder dritten (blau) Flug."
adas.dss.0_0_4.models.CARPPO.output.warning_status_interpretation.3.explanation;This model is currently collecting data to run. Based on current data available, the model results indicate conditions are currently suitable for pest activity.;Denne model indsamler i øjeblikket data for at kunne køre. Baseret på de foreliggende data viser modelresultaterne, at forholdene i øjeblikket er egnede til skadedyrsaktivitet.;Für dieses Modell werden noch weitere Daten gesammelt. Auf der Grundlage der derzeit verfügbaren Daten deuten die Modellergebnisse darauf hin, dass die Bedingungen für Schädlingsaktivitäten aktuell geeignet sind.
adas.dss.0_0_4.models.CARPPO.output.warning_status_interpretation.3.recommended_action;This model runs March - August. The model predicts that adult codling moth flight activity is currently underway, which indicates that oviposition will on vulnerable fruit is likely where this pest is present. Monitor vulnerable crops for in-field activity and apply suitable treatments according to need. The 'Cumulative Captures' chart indicates the predicted accumulative  proportion (%) of adult males likely to be caught by these dates, associated with the first (green), second (red) or third (blue) flights.;"Denne model kører marts - august. Modellen forudsiger, at der i øjeblikket er aktivitet for flyvning med voksne møl, hvilket indikerer, at æglægning på sårbar frugt er sandsynlig, hvor skadedyret er til stede. Overvåg sårbare afgrøder for aktivitet i marken, og anvend passende behandlinger efter behov. Diagrammet ""Kumulative fangster"" angiver den forventede akkumulerende andel (%) af voksne mænd, der sandsynligvis vil blive fanget på disse datoer, i forbindelse med den første (grøn), anden (rød) eller tredje (blå) flyvning.";"Dieses Modell läuft von März bis August. Das Modell sagt voraus, dass die Flugaktivität der erwachsenen Apfelwickler derzeit im Gange ist, was darauf hindeutet, dass die Eiablage in gefährdeten Früchten wahrscheinlich ist, wenn dieser Schädling vorhanden ist. Überwachen Sie gefährdete Bestände auf Aktivität im Bestand und wenden Sie je nach Bedarf geeignete Behandlungen an. Das Diagramm ""Kumulative Fänge"" zeigt den vorhergesagten kumulativen Anteil (%) der erwachsenen Männchen, die zu diesen Terminen wahrscheinlich gefangen werden, in Verbindung mit dem ersten (grün), zweiten (rot) oder dritten (blau) Flug."
adas.dss.0_0_4.models.CARPPO.output.warning_status_interpretation.4.explanation;This model is currently collecting data to run. Based on current data available, the model results indicate that conditions may soon be suitable for critical pest activity.;Denne model indsamler i øjeblikket data for at kunne køre. Baseret på de foreliggende data indikerer modelresultaterne, at forholdene snart kan være egnede til kritisk skadedyrsaktivitet.;Für dieses Modell werden noch weitere Daten gesammelt. Auf der Grundlage der derzeit verfügbaren Daten deuten die Modellergebnisse darauf hin, dass die Bedingungen für eine kritische Schädlingsaktivität bald geeignet sein könnten.
adas.dss.0_0_4.models.CARPPO.output.warning_status_interpretation.4.recommended_action;This model runs March - August. The risk of start of first, second or third codling moth migration and associated oviposition on vulnerable fruit is high. Check DSS warnings for predicted date of start of migration, and increase monitoring efforts in vulnerable crops, and apply suitable treatment according to need.. The 'Cumulative Captures' chart indicates the predicted accumulative proportion (%) of adult males likely to be caught b y these dates, associated with the first (green), second (red) or third (blue) flights.;Denne model kører marts - august. Risikoen for start af første, anden eller tredje flyvning og tilhørende æglægning på sårbare frugter er høj. Kontroller DSS-advarsler for forventet dato for start af flyvning, og øg overvågningsindsatsen i sårbare afgrøder, og anvend passende behandling efter behov. Diagrammet »Kumulative fangster« angiver den forventede akkumulerende andel (%) af voksne mænd, der sandsynligvis vil blive fanget på disse datoer, i forbindelse med den første (grønne), anden (røde) eller tredje (blå) flyvning.;"Dieses Modell läuft von März bis August. Das Risiko des Beginns des ersten, zweiten oder dritten Apfelwicklerzufluges und der damit verbundenen Eiablage auf gefährdeten Früchten ist hoch. Prüfen Sie die EHS-Warnungen auf das voraussichtliche Datum des Beginns des Zufluges, verstärken Sie die Überwachung in gefährdeten Beständen und wenden Sie je nach Bedarf eine geeignete Behandlung an. Das Diagramm ""Kumulative Fänge"" zeigt den vorhergesagten kumulativen Anteil (%) erwachsener Männchen, die wahrscheinlich bis zu diesen Terminen gefangen werden, in Verbindung mit dem ersten (grün), zweiten (rot) oder dritten (blau) Flug."
adas.dss.0_0_4.models.CARPPO.purpose;Estimates the risk of the start of codling moth flight into crops, and associated egg laying in pome fruit.;Vurderer risikoen for, at møl flyver i afgrøder og tilhørende æglægning i kernefrugter.;Abschätzung des Risikos des Zufluges des Apfelwicklers in die Bestände und der damit verbundenen Eiablage im Kernobst.
adas.dss.0_0_4.models.DASGPA.description;"THE PEST: Cutworm are caterpillars of a few species of moth (e.g. Agrotis species) that feed at the base and roots of various crops. Eggs are laid in late spring, and the first three instar feed on surface vegetation, before burrowing into roots. Once they’ve moved into the roots, they cannot be controlled using contact treatments (e.g. insecticides). As adults continue to lay eggs in the crop, several ‘batches’ of larvae, at different instars, can be present in the crop. 

THE DECISION: The DSS predicts the number of instar 1, 2 or 3 larval batches that could be active in the crop. When 4 or more batches are predicted, treatment is recommended to prevent high numbers of larvae moving into the crop roots.
THE MODEL: This model predicts the number of batches of vulnerable larvae (instar 1-3) currently active, based on first appearance of adult moth and subsequent larval development. Significant rainfall events cause high levels of mortality in larvae, which is included in the model.
THE PARAMETERS: The model uses a model start date is defined as the first day after 1st June where temperature exceeds 12 degrees as a default to predict adult moth arrival. Temperature (to determine growth rates) and rainfall (to determine mortality), ending on the 31st October. Any spray dates can be inputted into the model and are deemed to be 100% effective at removing cutworm from the model, but does not prevent subsequent batches.
REGION: This DSS was adapted from work carried out in the UK, and is considered applicable, but not yet validated in, Belgium, Luxembourg, Netherlands, France, Germany, Rep. Ireland, and Denmark.
ASSUMPTION: This DSS assumes first arrival of adult moths to be 1st June; users monitoring abundance in field should edit the parameter to the correct first observation to improve accuracy.
REFERENCE: Bowden et al. (1983) Annuls of Applied Biology 102, 29-47. https://doi.org/10.1111/j.1744-7348.1983.tb02663.x";"SKADEDYRET: Knoporme er larver, som hører til uglelarverne (f.eks. Agrotis-arter), der æder ved bunden og rødderne af forskellige afgrøder. Æg lægges i slutningen af foråret, og de første tre larvestadier æder overfladevegetation, før de graver sig ned i rødder. Når de først er flyttet ind i rødderne, kan de ikke kontrolleres ved hjælp af kontaktbehandlinger (f.eks. Insekticider). Da de voksne fortsætter med at lægge æg i afgrøden, kan flere 'partier' af larver på forskellige stadier være til stede i afgrøden. 

BESLUTNING: DSS forudsiger antallet af stadie 1, 2 eller 3 larvepartier, der kan være aktive i afgrøden. Når 4 eller flere partier forudsiges, anbefales behandling for at forhindre, at et stort antal larver bevæger sig ind i afgrøderødderne. 
MODELLEN: Denne model forudsiger antallet af partier af sårbare larver (stadie 1-3), der i øjeblikket er aktive, baseret på første observation af voksen møl og efterfølgende larveudvikling. Betydelige nedbørshændelser forårsager høje niveauer af dødelighed hos larver, dette er inkluderet i modellen. 
PARAMETRE: Modellen bruger en model startdato som er defineret som den første dag efter 1. juni, hvor temperaturen overstiger 12 grader som standard for at forudsige ankomsten af voksne møl. Temperatur (for at bestemme vækstrater) og nedbør (for at bestemme dødelighed) slutter den 31. oktober. Eventuelle sprøjtedatoer kan indtastes i modellen og anses for at være 100% effektive til at fjerne knoporme fra modellen, men forhindrer ikke efterfølgende partier larver. 
REGION: Dette DSS er tilpasset arbejde udført i Storbritannien og anses for at være relevant, men endnu ikke valideret i Belgien, Luxembourg, Holland, Frankrig, Tyskland, Irland og Danmark.
ANTAGELSE: Denne DSS forudsætter, at første ankomst af voksne møl er 1. juni; brugere, der overvåger i marken, skal redigere parameteren til den korrekte første observation for at forbedre nøjagtigheden. 
REFERENCE: Bowden et al. (1983) Annuls of Applied Biology 102, 29-47. https://doi.org/10.1111/j.1744-7348.1983.tb02663.x";"SCHADERREGER: Erdraupen sind die Raupen einiger Mottenarten (z. B. Agrotis-Arten) die sich von der Basis und den Wurzeln verschiedener Kulturpflanzen ernähren. Die Eier werden im späten Frühjahr abgelegt, und die ersten drei Larven fressen an der Oberflächenvegetation, bevor sie sich in die Wurzeln eingraben. Sobald sie in die Wurzeln eingedrungen sind, können sie nicht mehr durch Kontaktmittel (z. B. mit Insektiziden) bekämpft werden. Da die adulten Tiere weiterhin Eier in der Pflanze ablegen, können mehrere ""Chargen"" von Larven in verschiedenen Stadien in der Pflanze vorhanden sein. 

ENTSCHEIDUNG: Das EHS sagt die Anzahl der Larvenchargen der Stadien 1, 2 oder 3 voraus, die in der Kultur aktiv sein könnten. Wenn 4 oder mehr Chargen vorhergesagt werden, wird eine Behandlung empfohlen, um zu verhindern, dass eine große Anzahl von Larven in die Wurzeln der Pflanzen eindringt.
MODELL: Das Modell prognostiziert die Anzahl der derzeit aktiven Chargen empfindlicher Larven (IStadium 1-3) auf der Grundlage des ersten Auftretens der adulter Motten und der anschließenden Larvenentwicklung. Starke Regenfälle führen zu einer hohen Sterblichkeit der Larven, die in das Modell einbezogen wird.
PARAMETER: Das Modell verwendet ein Startdatum, das als der erste Tag nach dem 1. Juni definiert ist, an dem die Temperatur 12 °übersteigt, als Vorgabe für die Vorhersage der Ankunft adulter Falter. Die Temperatur (zur Bestimmung der Wachstumsraten) und der Niederschlag (zur Bestimmung der Sterblichkeit)  enden am 31. Oktober. Jedes beliebige Spritzdatum kann in das Modell eingegeben werden und gilt im Modell als 100 % wirksam bei der Beseitigung der Erdraupen, verhindert aber nicht nachfolgende Chargen.
REGION: Das EHS basiert auf Arbeiten, die im Vereinigten Königreich durchgeführt wurden und gilt als anwendbar, wurde aber z.B. noch nicht in Belgien, Luxemburg, den Niederlanden, Frankreich, Deutschland, der Republik Irland und Dänemark validiert.
ANNAHMEN: Das EHS geht davon aus, dass die erste Ankunft der adulten Falter am 1. Juni erfolgt; Benutzer, die die Abundanz im Feld überwachen, sollten den Parameter auf die korrekte erste Beobachtung ändern, um die Genauigkeit zu verbessern.
REFERENZ: Bowden et al. (1983) Annuls of Applied Biology 102, 29-47. https://doi.org/10.1111/j.1744-7348.1983.tb02663.x"
adas.dss.0_0_4.models.DASGPA.execution.input_schema.properties.modelId.description;Must be DASGPA;Skal være DASGPA;Muss DASGPA sein
adas.dss.0_0_4.models.DASGPA.execution.input_schema.properties.modelId.title;Model Id;Model-id;Modell-ID
adas.dss.0_0_4.models.DASGPA.execution.input_schema.properties.optionalData.properties.dateOfLastSpray.title;Date of Last Spray (YYYY-MM-DD);Dato for seneste sprøjtning (ÅÅÅÅ-MM-DD);Datum des letzten Spritzens (JJJJ-MM-TT)
adas.dss.0_0_4.models.DASGPA.execution.input_schema.properties.optionalData.properties.endDate.title;Model End Date (YYYY-MM-DD);Slutdato for modellen (ÅÅÅÅ-MM-DD);Modell-Enddatum (JJJJ-MM-TT)
adas.dss.0_0_4.models.DASGPA.execution.input_schema.properties.optionalData.properties.startDate.title;1st arrival of adult moths (YYYY-MM-DD);Første observation af voksne møl (ÅÅÅÅ-MM-DD);1. Ankunft der adulten Falter (JJJJ-MM-TT)
adas.dss.0_0_4.models.DASGPA.execution.input_schema.properties.optionalData.title;Optional parameters for the DSS;Valgfrie parametre for DSS;Optionale Parameter für das EHS
adas.dss.0_0_4.models.DASGPA.name;Cutworm Model;Knopormemodel;Erdraupen-Modell
adas.dss.0_0_4.models.DASGPA.output.chart_groups.G1.title;Instar Count;Stadietæller;Zähler Larven-Stadium
adas.dss.0_0_4.models.DASGPA.output.chart_heading;Larval Batches Surviving to Third Instar.;Larvepartier som overlever til tredje stadie.;Larvenchargen, die bis zum dritten Larvenstadium überleben.
adas.dss.0_0_4.models.DASGPA.output.result_parameters.Third_Instar_Count.description;Number of larval batches surviving to third instar.;Antal larvepartier som overlever til tredje stadie.;Anzahl Larvenpartien, die bis zum dritten Larvenstadium überleben.
adas.dss.0_0_4.models.DASGPA.output.result_parameters.Third_Instar_Count.title;Larval Batches Surviving to Third Instar.;Larvepartier som overlever til tredje stadie.;Larvenchargen, die bis zum dritten Larvenstadium überleben.
adas.dss.0_0_4.models.DASGPA.output.warning_status_interpretation.0.explanation;;;
adas.dss.0_0_4.models.DASGPA.output.warning_status_interpretation.0.recommended_action;;;
adas.dss.0_0_4.models.DASGPA.output.warning_status_interpretation.1.explanation;Missing data.;Manglende data.;Fehlende Daten.
adas.dss.0_0_4.models.DASGPA.output.warning_status_interpretation.1.recommended_action;Review error message.;Gennemse fejlmeddelelse.;Überprüfen Sie die Fehlermeldung.
adas.dss.0_0_4.models.DASGPA.output.warning_status_interpretation.2.explanation;This model is currently collecting data to run. Based on current data available, the model results indicate no current risk of pest activity.;Denne model indsamler i øjeblikket data, der skal køres. Baseret på de foreliggende data indikerer modelresultaterne ingen aktuel risiko for skadedyrsaktivitet.;Für dieses Modell werden noch weitere Daten gesammelt. Auf der Grundlage der derzeit verfügbaren Daten deuten die Modellergebnisse darauf hin, dass derzeit kein Risiko einer Schädlingsaktivität besteht.
adas.dss.0_0_4.models.DASGPA.output.warning_status_interpretation.2.recommended_action;This model runs June - October. The risk of 3rd instar cutwork larvae being active in the crop is low. The chart 'Instar Count' indicates that the number of larval batches forecast to survive to third instar during this period is less zero. Update parameters when any insecticide applications are made.;Denne model kører juni - oktober. Risikoen for, at 3. stadie knoporme er aktive i afgrøden er lav. Diagrammet 'Stadietæller' indikerer, at antallet af larvepartier, der forventes at overleve til tredje stadie i denne periode, er mindre nul. Opdater parametre, når der foretages insekticidapplikationer.;"Dieses Modell läuft von Juni bis Oktober. Das Risiko, dass Erdraupen des dritten Larvenstadiums im Bestand  aktiv sind, ist gering. Das Diagramm ""Zähler Larvenstadium"" zeigt, dass die Anzahl der Larvenchargen, die in diesem Zeitraum voraussichtlich bis zum dritten Larvenstadium überleben, unter Null liegt. Aktualisieren Sie die Parameter, wenn Insektizide eingesetzt werden."
adas.dss.0_0_4.models.DASGPA.output.warning_status_interpretation.3.explanation;Yellow warning indicates that the larval batches surviving to third instar is between 1 and 4. ;Gul advarsel angiver, at larvepartierne, der overlever til tredje stadie, er mellem 1 og 4.;Eine gelbe Warnung zeigt an, dass die Anzahl der Larven, die bis zum dritten Larvenstadium überleben, zwischen 1 und 4 liegt. 
adas.dss.0_0_4.models.DASGPA.output.warning_status_interpretation.3.recommended_action;This model runs June - October. The risk of 3rd instar cutwork larvae being active in the crop is increasing. The chart 'Instar Count' indicates that the number of larval batches forecast to survive to third instar during this period is between 1 and 4.  Increasing monitoring efforts in vulnerable crops, and apply suitable treatment according to need. Update parameters when any insecticide applications are made;Denne model kører juni - oktober. Risikoen for, at 3. stadie knoporme er aktive i afgrøden, er stigende. Diagrammet 'Stadietæller' angiver, at antallet af larvepartier, der forventes at overleve til tredje stadie i denne periode, er mellem 1 og 4. Øge overvågningsindsatsen i sårbare afgrøder og anvend passende behandling efter behov. Opdater parametre, når der foretages insekticidapplikationer;Dieses Modell läuft von Juni bis Oktober. Das Risiko, dass Erdraupen des dritten Larvenstadiums im Bestand  aktiv sind, steigt. Das Diagramm 'Zähler Larvenstadium' zeigt, dass die Anzahl der Larvenchargen, die in diesem Zeitraum voraussichtlich bis zum dritten Larvenstadium überleben, zwischen 1 und 4 liegt.  Verstärkte Überwachung in gefährdeten Beständen und Anwendung geeigneter Behandlungen je nach Bedarf. Aktualisierung der Parameter bei jeder Insektizidanwendung
adas.dss.0_0_4.models.DASGPA.output.warning_status_interpretation.4.explanation;Red warning indicates that there are over 4 larval batches surviving to third instar. ;Rød advarsel indikerer, at der er over 4 larvepartier, der overlever til tredje stadie.;Eine rote Warnung bedeutet, dass mehr als 4 Larvenchargen bis zum dritten Larvenstadium überlebt haben. 
