KEY;default;de;sl;nl;dk;se;gr;no;fr;fi;lt;it;pl;es;pt
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.slidingHoursAhead.title;Number of hours to consider after current hour;Anzahl der zu berücksichtigenden Stunden nach der aktuellen Stunde;Število ur, ki jih je treba upoštevati po trenutni uri;Aantal uren te beschouwen na het huidige uur;Antal timer, der skal overvejes efter den aktuelle time;Antal timmar att tänka på efter aktuell timme;Αριθμός ωρών προς εξέταση μετά την τρέχουσα ώρα;Antal timer som skal vurderes etter den aktuelle timen;Nombre d'heures à considérer après l'heure actuelle;;;Numero di ore da considerare dopo l'ora corrente;;;
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.slidingHoursPast.title;Number of hours to consider before current hour;Anzahl der zu berücksichtigenden Stunden vor der aktuellen Stunde;Število ur, ki jih je treba upoštevati pred trenutno uro;Aantal uren te beschouwen vóór het huidige uur;Antal timer, du skal overveje før den aktuelle time;Antal timmar att tänka på före aktuell timme;Αριθμός ωρών που πρέπει να εξεταστούν πριν από την τρέχουσα ώρα;Antal timer som skal vurderes før den aktuelle timen;Nombre d'heures à considérer avant l'heure actuelle;;;Numero di ore da considerare prima dell'ora corrente;;;
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.sprayingProtectionDays.title;Number of days the crop is protected;Anzahl der Tage, an denen die Kultur geschützt ist;Število dni, ko je posevek zaščiten;Aantal dagen dat het gewas beschermd is;Antal dage afgrøden er beskyttet;Antal dagar som grödan är skyddad;Αριθμός ημερών προστασίας της καλλιέργειας;Antal dager kulturen er beskyttet;Nombre de jours de protection de la culture;;;Numero di giorni di protezione della coltura;;;
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.thresholdHumidPeriodHours.title;Threshold number of hours for a 'wet period';Schwellenwert für die Anzahl der Stunden für eine 'feuchte Periode';"Mejno število ur za ""mokro obdobje""";"Drempel aantal uren voor een ""natte periode""";Tærskel antal timer i en »våd periode«;"Tröskelvärdet för antal timmar under en ""våt period""";"Κατώτατος αριθμός ωρών για ""υγρή περίοδο""";Terskelverdi for antall timer i en »våt periode«;"Seuil du nombre d'heures pour une ""période humide"".";;;"Numero di ore di soglia per un ""periodo di bagnatura"".";;;
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.thresholdLeafWetness.title;Threshold Leaf wetness for wet hour;Schwellenwert Blattnässe für eine feuchte Stunde;"Prag vlažnosti listov za ""mokro uro""";Drempel bladnatheid voor 'bladnat' uur;Tærskelblads vådhed i våd time;Tröskel för bladfuktighet för våt timme;Κατώφλι υγρασίας φύλλων για υγρή ώρα;Terskelverdi for bladfuktighet for en våt time;Seuil d'humidité de la feuille pour l'heure humide;;;Soglia di bagnatura delle foglie per l'ora di bagnatura;;;
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.thresholdPrecipitation.title;Threshold precipitation for wet hour;Schwellenwert Niederschlag für eine feuchte Stunde;"Prag padavin za ""mokro uro""";Drempel neerslag voor 'bladnat' uur;Tærskel nedbør for våd time;Tröskel för nederbörd för våt timme;Κατώτατο όριο βροχόπτωσης για υγρή ώρα;Terskelverdi for nedbør for en våt time;Précipitation seuil pour l'heure humide;;;Soglia di precipitazione per l'ora di bagnatura;;;
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.thresholdRelativeHumidity.title;Threshold RH for wet hour;Schwellenwert relative Luftfeuchte für eine feuchte Stunde;"Prag relativne vlažnosti za ""mokro uro""";Drempel RH voor bladnat uur;Tærskel RH for våd time;Tröskel RH för våt timme;Κατώτατο όριο RH για υγρή ώρα;Terskelverdi for RH for en våt time;Seuil d'HR pour l'heure humide;;;Soglia RH per l'ora di bagnatura;;;
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.timeZone.title;Time zone (e.g. Europe/Oslo);Zeitzone (z. B. Europa/Oslo);Časovni pas (npr. Evropa/Oslo);Tijdzone (bijv. Europa/Oslo);Tidszone (f.eks. Europa/Oslo);Tidszon (t.ex. Europa/Oslo);Ζώνη ώρας (π.χ. Ευρώπη/Οσλο);Tidssone (f.eks. Europa/Oslo);Fuseau horaire (par exemple, Europe/Oslo);;;Fuso orario (ad es. Europa/Oslo);;;
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.title;Configuration parameters;Konfigurationsparameter;Urejanje parametrov;Configuratie parameters;Konfigurationsparametre;Konfigurationsparametrar;Παράμετροι διαμόρφωσης;Konfigurasjonsparametre;Paramètres de configuration;;;Parametri di configurazione;;;
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.modelId.description;Must be SEPTORIAHU;Muss SEPTORIAHU sein;Mora biti SEPTORIAHU;Moet SEPTORIAHU zijn;Skal være SEPTORIAHU;Måste vara SEPTORIAHU;Πρέπει να είναι SEPTORIAHU;Skal være SEPTORIAHU;Doit être SEPTORIAHU;;;Deve essere SEPTORIAHU;;;
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.modelId.title;Model Id;Modell-ID;Id modela;Model-id;Model-id;Modell-ID;Κωδικός μοντέλου;Modell-id;Modèle Id;;;Id del modello;;;
dk.seges.1_1.models.SEPTORIAHU.name;Septoria Humidity Model;Septoria-Feuchtigkeitsmodell;Vlažnostni model za pšenično listno pegavost;Septoria vochtigheidsmodel;Septoria Fugtighed Model;Fuktighetsmodell för svartpricksjuka i vete;Μοντέλο υγρασίας σεπτόριας;Septoria Fugtighetsmodell;Modèle d'humidité de la Septoriose;;;Modello di umidità della Septoria;;;
dk.seges.1_1.models.SEPTORIAHU.output.chart_groups.G1.title;Consecutive humid hours;Aufeinanderfolgende feuchte Stunden;Zaporedne mokre ure;Opeenvolgende vochtige uren;Sygdomsudvikling;Sammanhängande fuktiga timmar;Διαδοχικές υγρές ώρες;Sjukdomsutvikling;Heures humides consécutives;;;Ore consecutive di umidità;;;
dk.seges.1_1.models.SEPTORIAHU.output.chart_heading;Septoria humidity model in wheat;Septoria-Feuchtigkeitsmodell für Weizen;Vlažnostni model za pšenično listno pegavost na pšenici;Septoria vochtigheidsmodel in tarwe;Septoria fugtighedsmodel i hvede;Fuktighetsmodell för svartpricksjuka i vete;Μοντέλο υγρασίας σεπτόριας στο σιτάρι;Septoria fuktighetsmodel i hvete;Modèle d'humidité de la septoriose dans le blé;;;Modello di umidità della Septoria nel grano;;;
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.HH.description;Current hour is humid hour? 1 = true, 0 = false;Aktuelle Stunde ist feuchte Stunde? 1 = wahr, 0 = falsch;Je trenutna ura mokra ura? 1 = da, 0 = ne;Huidig uur is vochtig uur? 1 = waar, 0 = onwaar;Nuværende time er fugtig time? 1 = sandt, 0 = falsk;Aktuell timme är fuktig timme? 1 = sant, 0 = falskt;"Η τρέχουσα ώρα είναι υγρή ώρα; 1 = αληθές, 0 = ψευδές";Nåværende time er fuktig time? 1 = sant, 0 = usant;L'heure actuelle est humide ? 1 = vrai, 0 = faux;;;L'ora attuale è un'ora umida? 1 = vero, 0 = falso;;;
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.HH.title;Current hour is humid hour? 1 = true, 0 = false;Aktuelle Stunde ist feuchte Stunde? 1 = wahr, 0 = falsch;Trenutna ura je mokra ura? 1 = da, 0 = ne;Huidig uur is vochtig uur? 1 = waar, 0 = onwaar;Nuværende time er fugtig time? 1 = sandt, 0 = falsk;Är aktuell timme fuktig? 1 = sant, 0 = falskt;"Η τρέχουσα ώρα είναι υγρή ώρα; 1 = αληθές, 0 = ψευδές";Nåværende time er fuktig time? 1 = sandt, 0 = usant;L'heure actuelle est humide ? 1 = vrai, 0 = faux;;;L'ora attuale è un'ora umida? 1 = vero, 0 = falso;;;
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.HHS.description;Humid hour sum for sliding middle;Summe feuchter Stunden für das gleitende Mittel;Vsota mokrih ur za drsno sredino;Voortschrijdende som aantal vochtige uren;Fugtig timesum til glidende midte;Summa fuktiga timmar för glidande mitt;Άθροισμα υγρής ώρας για συρόμενη μέση;Fuktig timesum for glidende middel;Somme d'heures humides;;;Somma delle ore umide per il centro scorrevole;;;
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.HHS.title;Humid hour sum for sliding middle;Summe feuchter Stunden für das gleitende Mittel;Vsota mokrih ur za drsno sredino;Voortschrijdende som aantal vochtige uren;Fugtig timesum til glidende midte;Summa fuktiga timmar för glidande mitt;Άθροισμα υγρής ώρας για συρόμενη μέση;Fuktig timesum for glidende middel;Somme d'heures humides;;;Somma delle ore umide per il centro scorrevole;;;
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.HPH.description;Humid period hour (consecutive humid hours);Feuchte Periodenstunde (aufeinanderfolgende feuchte Stunden);Trajanje vlažnega obdobja (zaporedne mokre ure);Vochtig periode-uur (opeenvolgende vochtige uren);Fugtig periode time (på hinanden følgende fugtige timer);Fuktig period, timmar (på varandra följande fuktiga timmar);Ώρα υγρής περιόδου (διαδοχικές υγρές ώρες);Fuktig periode time (påfølgende fuktige timer);Heure de période humide (heures humides consécutives);;;Ore del periodo umido (ore umide consecutive);;;
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.HPH.title;Humid period hour (consecutive humid hours);Feuchte Periodenstunde (aufeinanderfolgende feuchte Stunden);Trajanje vlažnega obdobja (zaporedne mokre ure);Vochtig periode-uur (opeenvolgende vochtige uren);Fugtig periode time (på hinanden følgende fugtige timer);Fuktig period, timmar (på varandra följande fuktiga timmar);Ώρα υγρής περιόδου (διαδοχικές υγρές ώρες);Fuktig periode time (påfølgende fuktige timer);Heure de période humide (heures humides consécutives);;;Ore del periodo umido (ore umide consecutive);;;
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.HPHPP.description;Number of consecutive humid hours, corrected for period of fungicide protection;Anzahl aufeinanderfolgender feuchter Stunden, korrigiert um den Zeitraum des Fungizidschutzes;Trajanje obdobja vlažnosti (zaporedne mokre ure), popravljena za obdobje zaščite s fungicidi;Aantal opeenvolgende vochtige uren, gecorrigeerd voor beschermingsperiode;Fugtig periodetime (på hinanden følgende fugtige timer) korrigeret for beskyttelsesperiode;Antal sammanhängande fuktiga timmar anpassade till fungicidbehandlingars skyddsperiod;Αριθμός διαδοχικών υγρών ωρών, διορθωμένος για την περίοδο προστασίας με μυκητοκτόνα;Fuktig periode time (påfølgende fuktige timer) korrigert for beskyttelsesperiode;Nombre d'heures humides consécutives, corrigé en fonction de la période de protection fongicide.;;;Ore del periodo umido (ore umide consecutive) corrette per il periodo di protezione dele funghicida;;;
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.HPHPP.title;Humid period hour (consecutive humid hours) corrected for protection period;Feuchte Periodenstunde (aufeinanderfolgende feuchte Stunden), korrigiert um die Dauer der Schutzwirkung;Trajanje obdobja vlažnosti (zaporedne mokre ure), popravljena za obdobje zaščite;Vochtig-periode-uur (opeenvolgende vochtige uren) gecorrigeerd voor beschermingsperiode;Fugtig periodetime (på hinanden følgende fugtige timer) korrigeret for beskyttelsesperiode;Fuktig period, timmar (på varandra följande fuktiga timmar) korrigerad för skyddsperiod;Ώρα υγρής περιόδου (διαδοχικές υγρές ώρες) διορθωμένη για την περίοδο προστασίας;Fuktig periode time (påfølgende fuktige timer) korrigert for beskyttelsesperiode;Heure de période humide (heures humides consécutives) corrigée en fonction de la période de protection;;;Ore del periodo umido (ore umide consecutive) corrette per il periodo di protezione;;;
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.SPP.description;Indicates the protection period after spraying;Gibt die Dauer der Schutzwirkung nach der Behandlung an;Označuje zaščitno dobo po škropljenju;Geeft de beschermingsperiode na bespuiting aan;Angiver beskyttelsesperioden efter sprøjtning;Indikerar skyddsperioden efter fungicidbehandling;Δείχνει την περίοδο προστασίας μετά τον ψεκασμό;Angir beskyttelsesperiode etter sprøyting;Indique la période de protection après la pulvérisation;;;Indica il periodo di protezione dopo il trattamento;;;
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.SPP.title;Crop is protected after spraying;Die Kultur ist nach einer Behandlung geschützt;Posevek je zaščiten po škropljenju;Gewas is beschermd na bespuiting;Afgrøden er beskyttet efter sprøjtning;Grödan är skyddad efter sprutning;Η καλλιέργεια προστατεύεται μετά τον ψεκασμό;Kulturen er beskyttet etter sprøyting;La culture est protégée après la pulvérisation;;;La coltura è protetta dopo il trattamento;;;
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.THPHPP.description;Threshold for consecutive humid hours;Schwellenwert für aufeinanderfolgende feuchte Stunden;Prag za zaporedne mokre ure;Drempelwaarde voor opeenvolgende vochtige uren;Tærskel for på hinanden følgende fugtige timer;Tröskelvärde för på varandra följande fuktiga timmar;Κατώτατο όριο για διαδοχικές υγρές ώρες;Terskel for påfølgende fuktige timer;Seuil pour les heures humides consécutives;;;Soglia per le ore umide consecutive;;;
dk.seges.1_1.models.SEPTORIAHU.output.result_parameters.THPHPP.title;Threshold for consecutive humid hours;Schwellenwert für aufeinanderfolgende feuchte Stunden;Prag za zaporedne mokre ure;Drempelwaarde voor opeenvolgende vochtige uren;Tærskel for på hinanden følgende fugtige timer;Tröskelvärde för på varandra följande fuktiga timmar;Κατώτατο όριο για διαδοχικές υγρές ώρες;Terskel for påfølgende fuktige timer;Seuil pour les heures humides consécutives;;;Soglia per le ore umide consecutive;;;
dk.seges.1_1.models.SEPTORIAHU.output.warning_status_interpretation.0.explanation;No warning/out of season;Keine Warnung/außerhalb der Saison;Brez opozorila/izven sezone;Geen waarschuwing / buiten het seizoen;Ingen advarsel/uden for sæsonen;Ingen varning/utanför säsongen;Χωρίς προειδοποίηση/εκτός εποχής;Ingen advarsel/utenfor sesongen;Pas d'avertissement/hors saison;;;Nessuna avvertenza/ fuori stagione;;;
dk.seges.1_1.models.SEPTORIAHU.output.warning_status_interpretation.0.recommended_action;No action needed;Keine Maßnahmen erforderlich;Ukrepanje ni potrebno;Geen actie nodig;Ingen handling nødvendig;Ingen åtgärd behövs;Δεν απαιτείται καμία ενέργεια;Ingen handling nødvendig;Aucune action nécessaire;;;Nessuna azione necessaria;;;
dk.seges.1_1.models.SEPTORIAHU.output.warning_status_interpretation.1.explanation;Missing data;Fehlende Daten;Manjkajo podatki;Ontbrekende gegevens;Manglende data;Saknade data;Λείπουν δεδομένα;Manglende data;Données manquantes;;;Dati mancanti;;;
dk.seges.1_1.models.SEPTORIAHU.output.warning_status_interpretation.1.recommended_action;Consult your advisory service;Wenden Sie sich an Ihren Beratungsdienst;Posvetujte se s svetovalno službo;Raadpleeg uw adviesdienst;Kontakt din rådgivningstjeneste;Kontakta din rådgivningstjänst;Συμβουλευτείτε τον γεωργικό σας σύμβουλο;Kontakt din rådgivningstjeneste;Consultez votre service de conseil;;;Consultare il proprio servizio di consulenza;;;
dk.seges.1_1.models.SEPTORIAHU.output.warning_status_interpretation.2.explanation;Based on weather data and current estimates of crop growth stages and septoria spray dates, the risk of septoria is low. Go to 'Edit parameters' to check and update growth stages and spray dates. This model runs March-end of June.  ;"Auf der Grundlage von Wetterdaten und aktuellen Schätzungen der Entwicklungsstadien der Pflanzen und der Septoria-Behandlungstermine ist das Septoria-Risiko gering. Gehen Sie zu ""Parameter bearbeiten"", um Entwicklungsstadien und Behandlungstermine zu überprüfen und zu aktualisieren. Dieses Modell läuft von März bis Juni.";"Glede na vremenske podatke in trenutne ocene razvojnih faz pridelka ter datume škropljenja proti septoriji je tveganje za razvoj bolezni majhno. V razdelku ""Parametri"" preverite in posodobite datume razvojnih faz in datume škropljenja. Ta model deluje od marca do junija.  ";Op basis van de weersgegevens en de huidige schattingen van de groeistadia van het gewas en bespuitingen tegen septoria is het risico op septoria laag. Ga naar 'Wijzig parameters' om de groeistadia en spuitdata te controleren en bij te werken. Dit model loopt van maart tot juni.  ;Baseret på aktuelle indtastede observationer og vejrdata er risikoen for septoria lav. Denne model kører marts-juni. Fortsæt med at kontrollere, om der er risikoopdateringer, og overvåg afgrøder. Opdater afgrødevækststadiet og datoen for fungicidapplikationer gennem sæsonen;"Baserat på aktuella observationer och väderdata är risken för svartpricksjuka låg. Gå till ""Redigera parametrar"" för att kontrollera och uppdatera datum för tillväxtstadier och fungicidbehandling. Den här modellen körs mars-juni.  ";"Με βάση τα καιρικά δεδομένα και τις τρέχουσες εκτιμήσεις για τα στάδια ανάπτυξης της καλλιέργειας και τις ημερομηνίες ψεκασμού για τη σεπτόρια, ο κίνδυνος είναι χαμηλός. Μεταβείτε στην ενότητα ""Επεξεργασία παραμέτρων"" για να ελέγξετε και να ενημερώσετε τα στάδια ανάπτυξης και τις ημερομηνίες ψεκασμού. Αυτό το μοντέλο λειτουργεί από τον Μάρτιο έως τον Ιούνιο.";Basert på aktuelle inntastede observasjoner og værdata er risikoen for septoria lav. Denne modellen kjøres mars-juni. Fortsett med å kontrollere om det er risikooppdateringer, og overvåk kulturen. Oppdater vekststadiet for kulturen og datoen for fungicidapplikation gjennom sesongen;"D'après les données météorologiques et les estimations actuelles des stades de croissance des cultures et des dates de pulvérisation de la septoriose, le risque de septoriose est faible. Allez sur ""Modifier les paramètres"" pour vérifier et mettre à jour les stades de développement et les dates de pulvérisation. Ce modèle fonctionne de mars à juin.  ";;;"In base ai dati meteorologici e alle stime attuali delle fasi di crescita delle colture e delle date di trattamento della septoriosi, il rischio di septoriosi è basso. Andare su ""Modifica parametri"" per controllare e aggiornare le fasi di crescita e le date di irrorazione. Questo modello funziona da marzo a giugno.  ";;;
dk.seges.1_1.models.SEPTORIAHU.output.warning_status_interpretation.2.recommended_action;Continue to check for risk updates and monitor crops. Update crop growth stage and date of fungicide applications through the season;Prüfen Sie weiterhin, ob die Risiken aktualisiert wurden, und überwachen Sie die Kulturen. Aktualisieren Sie das Entwicklungsstadium der Pflanzen und das Datum der Fungizidanwendungen während der Saison;Še naprej preverjajte posodobitve tveganj in spremljajte posevke. Posodabljajte stopnjo rasti pridelka in datum uporabe fungicidov v sezoni.;Blijf op de hoogte van nieuwe risico's eninspecteer de gewassen. Werk het groeistadium van de gewassen en de datum van fungicidenapplicaties gedurende het seizoen bij;Fortsæt med at kontrollere, om der er risikoopdateringer, og overvåg afgrøder. Opdater afgrødevækststadiet og datoen for fungicidapplikationer gennem sæsonen;Fortsätt att kontrollera riskuppdateringar och övervaka grödor. Uppdatera grödans tillväxtstadium och datum för fungicidbehandlingar under säsongen;Συνεχίστε να ελέγχετε για ενημερώσεις σχετικά με τους κινδύνους και να παρακολουθείτε τις καλλιέργειες. Ενημερώστε το στάδιο ανάπτυξης της καλλιέργειας και την ημερομηνία των εφαρμογών μυκητοκτόνων κατά τη διάρκεια της περιόδου.;Fortsett med å kontrollere om det er risikooppdateringer, og overvåk kulturen. Oppdater kulturstadiet og datoen for fungicidapplikation gjennom sesongen;Continuez à vérifier les mises à jour des risques et à surveiller les cultures. Mettez à jour le stade de développement des cultures et la date des applications de fongicides tout au long de la saison.;;;Continuare a controllare gli aggiornamenti sul rischio e monitorare le colture. Aggiornare lo stadio di crescita delle colture e la data di applicazione dei fungicidi nel corso della stagione.;;;
dk.seges.1_1.models.SEPTORIAHU.output.warning_status_interpretation.3.explanation;Based on weather data and current estimates of crop growth stages and septoria spray dates, the risk of septoria is moderate. Go to 'Edit parameters' to check and update growth stages and spray dates. This model runs March-June. ;"Auf der Grundlage von Wetterdaten und aktuellen Schätzungen der Entwicklungsstadien der Pflanzen und der Septoria-Behandlungstermine ist das Septoria-Risiko moderat. Gehen Sie zu ""Parameter bearbeiten"", um Entwicklungsstadien und Behandlungstermine zu überprüfen und zu aktualisieren. Dieses Modell läuft von März bis Juni.";"Glede na vremenske podatke in trenutne ocene razvojnih faz pridelka ter datume škropljenja proti septoriji je tveganje za razvoj bolezni zmerno. V razdelku ""Parametri modela"" preverite in posodobite datume razvojnih faz in datume škropljenja. Ta model deluje od marca do junija.  ";Op basis van de weersgegevens en de huidige schattingen van de groeistadia van het gewas en bespuitingen tegen septoria is het risico op septoria matig. Ga naar 'Wijzig parameters' om de groeistadia en spuitdata te controleren en bij te werken. Dit model loopt van maart tot juni. ;Baseret på aktuelle indtastede observationer og vejrdata er risikoen for septoria moderat.;"Baserat på aktuella väderdata, uppskattade datum för tillväxtstadier och datum för fungicidbehandling är risken för svartpricksjuka måttlig. Gå till ""Redigera parametrar"" för att kontrollera och uppdatera datum för tillväxtstadier och fungicidbehandling. Den här modellen körs mars-juni.  ";"Με βάση τα καιρικά δεδομένα και τις τρέχουσες εκτιμήσεις για τα στάδια ανάπτυξης της καλλιέργειας και τις ημερομηνίες ψεκασμού για τη σεπτόρια, ο κίνδυνος είναι μέτριος. Μεταβείτε στην ενότητα ""Επεξεργασία παραμέτρων"" για να ελέγξετε και να ενημερώσετε τα στάδια ανάπτυξης και τις ημερομηνίες ψεκασμού. Αυτό το μοντέλο λειτουργεί από τον Μάρτιο έως τον Ιούνιο.";Basert på aktuelle inntastede observasjoner og værdata er risikoen for septoria moderat.;"Sur la base des données météorologiques et des estimations actuelles des stades de développement des cultures et des dates de pulvérisation de la septoriose, le risque de septoriose est modéré. Allez sur ""Edit parameters"" pour vérifier et mettre à jour les stades de développement et les dates de pulvérisation. Ce modèle fonctionne de mars à juin. ";;;"In base ai dati meteorologici e alle stime attuali delle fasi di crescita delle colture e delle date di irrorazione della septoriosi, il rischio di septoriosi è moderato. Andare su ""Modifica parametri"" per controllare e aggiornare le fasi di crescita e le date di irrorazione. Questo modello funziona da marzo a giugno. ";;;
dk.seges.1_1.models.SEPTORIAHU.output.warning_status_interpretation.3.recommended_action;If the threshold of 20 hours humidity is not exceeded, but other diseases are assessed to also cause a risk and the crop has not been treated in the last ten days, choose an effective fungicide which also controls septoria. Continue to check for risk updates and monitor crops. Update crop growth stage and date of fungicide applications through the season ;Wenn der Schwellenwert von 20 Stunden Luftfeuchtigkeit nicht überschritten wird, aber andere Krankheiten ebenfalls ein Risiko darstellen und die Kultur in den letzten zehn Tagen nicht behandelt wurde, wählen Sie ein wirksames Fungizid, das auch Septoria bekämpft. Prüfen Sie weiterhin, ob das Risiko aktualisiert wurde, und überwachen Sie die Bestände. Aktualisieren Sie das Entwicklungsstadium der Pflanzen und das Datum der Fungizidanwendungen während der Saison.;Če prag 20-urne vlažnosti ni presežen, vendar so ocenjene druge bolezni, ki prav tako povzročajo tveganje, in posevek ni bil tretiran v zadnjih desetih dneh, izberite učinkovit fungicid, ki je učinkovit tudi proti pšenični listni pegavosti.  Še naprej preverjajte posodobitve tveganja in spremljajte posevke. V rastni dobi posodabljajte fenofazo pridelka in datum uporabe fungicidov.;"Als de drempel van 20 uur luchtvochtigheid niet wordt overschreden, maar andere ziekten ook een risico opleveren en het gewas de afgelopen tien dagen niet is behandeld, kies dan een effectief fungicide dat ook de bestrijding van septoria dekt.
Blijf controleren op risico-updates en monitor de gewassen. Het groeistadium van de gewassen en de datum van fungicidenapplicaties gedurende het seizoen bijwerken. ";Hvis tærsklen på 20 timers luftfugtighed ikke overskrides, men andre sygdomme vurderes også at medføre en risiko, og afgrøden ikke er blevet behandlet inden for de sidste ti dage, skal du vælge et effektivt fungicid, der også dækker bekæmpelse af septoria. Denne model kører marts-juni. Fortsæt med at kontrollere, om der er risikoopdateringer, og overvåg afgrøder. Opdater afgrødevækststadiet og datoen for fungicidapplikationer gennem sæsonen;Om tröskeln på 20 timmars luftfuktighet inte överskrids, men om det finns risk för andra sjukdomar och grödan inte har behandlats under de senaste tio dagarna, välj en effektiv fungicid som också är effektiv mot svartpricksjuka. Den här modellen körs mars-juni.  Fortsätt att kontrollera riskuppdateringar och övervaka grödan. Uppdatera grödans tillväxtstadium och datum för fungicidbehandlingar under säsongen;Εάν το όριο των 20 ωρών υγρασίας δεν έχει ξεπεραστεί, αλλά άλλες ασθένειες εκτιμάται ότι προκαλούν επίσης κίνδυνο και η καλλιέργεια δεν έχει υποστεί επεξεργασία τις τελευταίες δέκα ημέρες, επιλέξτε ένα αποτελεσματικό μυκητοκτόνο που ελέγχει επίσης τη σεπτόρια. Συνεχίστε να ελέγχετε για ενημερώσεις σχετικά με τον κίνδυνο και να παρακολουθείτε τις καλλιέργειες. Ενημερώστε το στάδιο ανάπτυξης της καλλιέργειας και την ημερομηνία των εφαρμογών μυκητοκτόνων κατά τη διάρκεια της περιόδου.;Hvis terskelen på 20 timer høy luftfuktighet ikke overskrides, men andre sjukdommer også vurderes at kan medføre en risiko, og kulturen ikke har blitt behandlet de sidste 10 dager, skal du velge et effektivt fungicid, som også dekker bekjempelse av septoria. Denne modellen kjøres mars-juni. Fortsett med å kontrollere om det er risikoopdateringer, og overvåk kulturen. Oppdater vekststadiet for kulturen og datoen for fungicidapplikation gjennom sesongen;Si le seuil de 20 heures d'humidité n'est pas dépassé, mais que l'on estime que d'autres maladies présentent également un risque et que la culture n'a pas été traitée au cours des dix derniers jours, choisissez un fongicide efficace qui lutte également contre la septoriose. Continuez à vérifier les mises à jour des risques et à surveiller les cultures. Mettez à jour le stade de développement de la culture et la date des applications de fongicides tout au long de la saison. ;;;Se la soglia di 20 ore di umidità non viene superata, ma si ritiene che anche altre malattie possano causare un rischio e la coltura non è stata trattata negli ultimi dieci giorni, scegliete un fungicida efficace che copra anche il controllo della septoriosi. Continuare a controllare gli aggiornamenti sul rischio e a monitorare le colture. Aggiornare lo stadio di crescita delle colture e la data di applicazione dei fungicidi nel corso della stagione.;;;
