KEY;default;de;sl;nl;dk;se;gr;no;fi;lt;fr;it;pl;es;pt
no.nibio.vips.2_0.models.DELIARADIC.output.chart_heading;Day degrees;Gradtage;Stopinjski dnevi;Graaddagen;Graddage;Daggrader;Βαθμοημέρες;Graddager;;Paros laipsniai ;Degrés-jour;Gradi giorno;;;
no.nibio.vips.2_0.models.DELIARADIC.output.result_parameters.TJM10DD4C.description;The accumulated soil temperature day degrees with a base temperature of 4 degrees celcius;Die akkumulierten Bodentemperatur-Gradtage mit einer Basistemperatur von 4 Grad Celsius;Akumulirana temperatura tal v stopinjskih dneh nad temperaturo 4°C;De geaccumuleerde bodemtemperatuur graaddagen met een basistemperatuur van 4 graden celcius;Den akkumulerede jordtemperatur graddage med en basistemperatur på 4 grader celcius;Den ackumulerade marktemperaturen daggrader med en bastemperatur på 4 grader celcius;Οι συσσωρευμένε βαθμοημέρες θερμοκρασίας εδάφους με θερμοκρασία βάσης 4 βαθμούς Κελσίου;Den akkumulerte jordtemperatur graddager med en basistemperatur på 4 grader celcius;;Suminė dirvožemio temperatūra dienos laipsniais, kai bazinė temperatūra yra 4  °C;Degrés-jours de température du sol accumulés avec une température de base de 4 degrés Celsius.;La temperatura del suolo accumulata in gradi giorno con una temperatura di base di 4 gradi celsius;;;
no.nibio.vips.2_0.models.DELIARADIC.output.result_parameters.TJM10DD4C.title;Accumulated soil temperature day degrees;Akkumulierte Bodentemperatur-Gradtage;Akumulirana temperatura tal v stopinjskih dneh;Geaccumuleerde bodemtemperatuur graaddagen;Akkumuleret jordtemperatur graddage;Ackumulerade daggrader för marktemperatur;Συσσωρευμένες βαθμοημέρες θερμοκρασία εδάφους;Akkumulerte graddager for jordtemperatur;;Suminė dirvožemio temperatūra dienos laipsniais;Degrés-jour de température cumulée du sol;Temperatura accumulata del suolo in gradi giorno;;;
no.nibio.vips.2_0.models.DELIARADIC.output.result_parameters.TJM10DD4CLT.description;When this threshold is reached, the flight period is beginning and the first oviposition is close;Wenn diese Schwelle erreicht ist, beginnt die Flugphase und die erste Eiablage steht kurz bevor.;Ko je ta prag dosežen, se začne obdobje letenja in kmalu bo sledilo prvo odlaganje jajčec.;Wanneer deze drempelwaarde is bereikt, begint de vliegperiode en is de eerste eileg nabij;Når denne tærskel er nået, begynder flyveperioden, og den første æglægning er nær;När denna tröskel uppnås börjar flygperioden och den första ovipositionen är nära;Όταν επιτευχθεί αυτό το όριο, αρχίζει η περίοδος πτήσης και η πρώτη ωοτοκία είναι κοντά.;Når denne terskelen oppnås begynner flyveperioden, og den første eggglegging nærmer seg.;;Kai ši riba pasiekiama, prasideda skraidymo periodas ir artėja pirmasis kiaušinėlių dėjimas.;Lorsque ce seuil est atteint, la période de vol commence et la première ponte est proche.;Quando questa soglia viene raggiunta, il periodo di volo sta iniziando e la prima ovodeposizione è vicina.;;;
no.nibio.vips.2_0.models.DELIARADIC.output.result_parameters.TJM10DD4CLT.title;Lower threshold value for TJM10DD4C;Unterer Schwellenwert für TJM10DD4C;Spodnja mejna vrednost za TJM10DD4C;Onderste drempelwaarde voor TJM10DD4C;Lavere tærskelværdi for TJM10DD4C;Lägre tröskelvärde för TJM10DD4C;Χαμηλότερη τιμή κατωφλίου για TJM10DD4C;Nedre terskelverdi for TJM10DD4C;;Apatinė TJM10DD4C riba;Valeur seuil inférieure pour TJM10DD4C;Valore di soglia inferiore per TJM10DD4C;;;
no.nibio.vips.2_0.models.DELIARADIC.output.result_parameters.TJM10DD4CUT.description;When this threshold is reached, it is likely that oviposition has begun.;Wenn diese Schwelle erreicht ist, hat die Eiablage wahrscheinlich begonnen.;Ko je ta mejna vrednost dosežena, se je odlaganje jajčec verjetno začelo. ;Wanneer deze drempelwaarde wordt bereikt, is het waarschijnlijk dat de eileg is begonnen.;Når denne tærskel er nået, er det sandsynligt, at æglægningen er begyndt.;När denna tröskel uppnås är det troligt att oviposition har börjat.;Όταν επιτευχθεί αυτό το όριο, είναι πιθανό να έχει αρχίσει η ωοτοκία.;Når denne terskelen oppnås, er det sannsynlig at eggleggingen har begynt.;;Kai ši riba pasiekiama, tikėtina, kad prasideda kiaušinėlių dėjimas.;Lorsque ce seuil est atteint, il est probable que la ponte a commencé.;Quando questa soglia viene raggiunta, è probabile che sia iniziata l'ovodeposizione.;;;
no.nibio.vips.2_0.models.DELIARADIC.output.result_parameters.TJM10DD4CUT.title;Upper threshold value for TJM10DD4C;Oberer Schwellenwert für TJM10DD4C;Zgornja mejna vrednost za TJM10DD4C;Bovenste drempelwaarde voor TJM10DD4C;Øvre tærskelværdi for TJM10DD4C;Övre tröskelvärde för TJM10DD4C;Ανώτερη τιμή κατωφλίου για TJM10DD4C;Øvre terskelverdi for TJM10DD4C;;Viršutinė TJM10DD4C riba;Valeur seuil supérieure pour TJM10DD4C;Valore di soglia superiore per TJM10DD4C;;;
no.nibio.vips.2_0.models.DELIARADIC.output.result_parameters.TMDD4C.description;The accumulated soil temperature day degrees with a base temperature of 4 degrees celcius;Die akkumulierte Bodentemperatur-Gradtage mit einer Basistemperatur von 4 Grad Celsius;Akumulirana  temperatura tal v stopinskih dnh nad temperaturo 4 °C.;De geaccumuleerde graaddagen van de bodemtemperatuur met een basistemperatuur van 4 graden celcius;Den akkumulerede jordtemperatur graddage med en basistemperatur på 4 grader celcius;Ackumulerade daggrader för marktemperatur med en bastemperatur på 4 grader celcius;Οι συσσωρευμένες βαθμοημέρες θερμοκρασίας εδάφους με θερμοκρασία βάσης 4 βαθμούς Κελσίου;Akkumulerte graddager for jordtemperatur med en basistemperatur på 4 grader celcius;;Suminė dirvožemio temperatūra dienos laipsniais, kai bazinė temperatūra yra 4  °C;Degrés-jours de température du sol accumulés avec une température de base de 4 degrés Celsius.;La temperatura cumulata del suolo in gradi giorno con una temperatura di base di 4 gradi celsius;;;
no.nibio.vips.2_0.models.DELIARADIC.output.result_parameters.TMDD4C.title;Accumulated air temperature day degrees;Akkumulierte Lufttemperatur-Gradtage;Akumulirana  temperatura zraka v stopinjskih dneh;Geaccumuleerde luchttemperatuur graaddagen;Akkumuleret lufttemperatur graddage;Ackumulerade daggrader lufttemperatur;Συσσωρευμένες βαθμοημέρες θερμοκρασίας αέρα;Akkumulerte graddager for lufttemperatur;;Suminiai paros oro temperatūros laipsniai ;Température de l'air cumulée en degrés jour;Temperatura dell'aria accumulata in gradi giorno;;;
no.nibio.vips.2_0.models.DELIARADIC.output.result_parameters.TMDD4CLT.description;When this threshold is reached, the flight period is beginning and the first oviposition is close;Wenn diese Schwelle erreicht ist, beginnt die Flugphase und die erste Eiablage steht kurz bevor.;Ko je ta mejna vrednost dosežena, se začenja obdobje letenja in prvo odlaganje jajčec je blizu.;Wanneer deze drempelwaarde wordt bereikt, begint de vliegperiode en is de eerste eileg nabij.;Når denne tærskel er nået, begynder flyveperioden, og den første æglægning er nær;När denna tröskel uppnås börjar flygperioden och den första ovipositionen är nära;Όταν επιτευχθεί αυτό το όριο, αρχίζει η περίοδος πτήσης και η πρώτη ωοτοκία είναι κοντά.;Når denne terskelen oppnås begynner flyveperioden, og den første eggglegging nærmer seg.;;Kai ši riba pasiekiama, prasideda skraidymo periodas ir artėja pirmasis kiaušinėlių dėjimas.;Lorsque ce seuil est atteint, la période de vol commence et la première ponte est proche.;Quando questa soglia viene raggiunta, il periodo di volo sta iniziando e la prima ovodeposizione è vicina.;;;
no.nibio.vips.2_0.models.DELIARADIC.output.result_parameters.TMDD4CLT.title;Lower threshold value for TMDD4C;Unterer Schwellenwert für TMDD4C;Spodnja mejna vrednost za TMDD4C;Onderste drempelwaarde voor TMDD4C;Nedre tærskelværdi for TMDD4C;Lägre tröskelvärde för TMDD4C;Χαμηλότερη τιμή κατωφλίου για το TMDD4C;Nedre terskelverdi for TMDD4C;;Apatinė TMDD4C riba;Valeur seuil inférieure pour TMDD4C;Valore di soglia inferiore per TMDD4C;;;
