KEY;default;dk;de;nl;sl;no;se;fi;lt;fr;it;gr;pl;es;pt
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.secondFlight_b.title;Second Flight: Parameter b;Anden flyvning: Parameter b;Zweiter Flug: Parameter b;Tweede vlucht: Parameter b;Drugi let: Parameter b;Andre flyvning: Parameter b;Andra flygning: Parameter b;;Antrasis skraidymas: Parametras b;Deuxième vol : Paramètre b;Secondo volo: Parametro b;Δεύτερη πτήση: Παράμετρος β;;;
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.secondFlight_y.title;Second Flight: Parameter y;Anden flyvning: Parameter y;Zweiter Flug: Parameter y;Tweede vlucht: Parameter y;Drugi let: Parameter y;Andre flyvning: Parameter y;Andra flygning: Parameter y;;Antrasis skraidymas: Parametras y;Deuxième vol : Paramètre y;Secondo volo: Parametro y;Δεύτερη πτήση: Παράμετρος y;;;
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.startDate.title;Model Start Date/Biofix (YYYY-MM-DD);Model Slutdato (ÅÅÅÅ-MM-DD);Modell Startdatum/Biofix (JJJJ-MM-TT);BOS startdatum/Biofix (YYY-MM-DD);Datum začetka modela/Biofix (DD-MM-LLLL);Modelles startdato/Biofix (ÅÅÅÅ-MM-DD);Modellens slutdatum (ÅÅÅÅ-MM-DD);;Modelio pradžios data (MMMM-MM-DD);Date de début du modèle/Biofix (AAAA-MM-JJ);Data inizio modello/Biofix (AAAA-MM-GG);Ημερομηνία έναρξης μοντέλου/Biofix ( ΕΕΕΕ-ΜΜ-ΗΗ);;;
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.thirdFlight_a.title;Third Flight: Parameter a;Tredje flyvning: Parameter a;Dritter Flug: Parameter a;Derde vlucht: Parameter a;Tretji let: Parameter a;Tredje flyvning: Parameter a;Tredje flygning: Parameter a;;Trečiasis skraidymas: Parametras a;Troisième vol : Paramètre a;Terzo volo: Parametro a;Τρίτη πτήση: Παράμετρος α;;;
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.thirdFlight_b.title;Third Flight: Parameter b;Tredje flyvning: Parameter b;Dritter Flug: Parameter b;Derde vlucht: Parameter b;Tretji let: Parameter b;Tredje flyvning: Parameter b;Tredje flygning: Parameter b;;Trečiasis skraidymas: Parametras b;Troisième vol : Paramètre b;Terzo volo: Parametro b;Τρίτη πτήση: Παράμετρος β;;;
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.thirdFlight_y.title;Third Flight: Parameter y;Tredje flyvning: Parameter y;Dritter Flug: Parameter y;Derde vlucht: Parameter y;Tretji let: Parameter y;Tredje flyvning: Parameter y;Tredje flygning: Parameter y;;Trečiasis skraidymas: Parametras y;Troisième vol : Paramètre y;Terzo volo: Parametro y;Τρίτη πτήση: Παράμετρος y;;;
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.upper_threshold.title;Upper Temperature Threshold;Maksimum temperatur;Oberer Temperaturschwellenwert;Hoogste Temperatuur drempelwaarde;Zgornji temperaturni prag;Terskelverdi for høyeste temperatur;Övre temperaturtröskel;;Viršutinė temperatūros riba;Seuil supérieur de température;Soglia di temperatura superiore;Ανώτερο όριο θερμοκρασίας;;;
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.title;Optional parameters for the DSS;Valgfrie parametre for DSS;Optionale Parameter für das EHS;Potentiële parameters voor het BOS;Dodatni parametri za DSS;Valgfrie parametre for DSS;Valfria parametrar för DSS;;Pasirenkamieji SPS parametrai;Paramètres optionnels pour l'OAD;Parametri opzionali per il DSS;Προαιρετικές παράμετροι για το DSS;;;
adas.dss.0_0_4.models.CARPPO.name;Codling moth flight model;Æblevikler flyvningsmodel;Modell für den Apfelwickler-Flug;Model voor fruitmot vluchten;Model letenja jabolčnega zavijača;Modell for eplevikler;Modell för flygning av äpplevecklare;;Obuolinio vaisėdžio skraidymo modelis;Modèle de vol du carpocapse;Modello di volo della carpocapsa del melo;Μοντέλο πτήσης καρπόκαψας της μηλιάς;;;
adas.dss.0_0_4.models.CARPPO.output.chart_groups.G1.title;Cumulative Captures;Kumulative fangster;Kumulative Fänge;Cumulatieve Vangsten;Kumulativni ulovi;Kumulativ fangst;Sammanlagda fångster;;Viso sugauta ;Captures cumulées;Catture cumulative;Αθροιστικές συλλήψεις;;;
adas.dss.0_0_4.models.CARPPO.output.chart_heading;Cumulative Captures;Kumulative fangster;Kumulative Fänge;Cumulatieve Vangsten;Kumulativni ulovi;Kumulativ fangst;Sammanlagda fångster;;Viso sugauta ;Captures cumulées;Catture cumulative;Αθροιστικές συλλήψεις;;;
adas.dss.0_0_4.models.CARPPO.output.result_parameters.First_Flight_Cumulative_Captures.description;The cumulative captures of the Codling Moth during their first flight.;De kumulative fangster af æblevikler under deres første flyvning.;Die kumulativen Fänge des Apfelwicklers während seines ersten Fluges.;De cumulatieve vangsten van de fruitmot tijdens hun eerste vlucht.;Kumulativni ulovi jabolčnega zavijača med njegovim prvim letom.;Kumulativ fangst av eplevikler fra første flyvning;De sammanlagda fångsterna av äpplevecklare under deras första flygning.;;Obuolinio vaisėdžio pirmojo skrydžio metu sugauta viso.;Les captures cumulées du carpocapse lors de leur premier vol.;Le catture cumulative della carpocapsa del melo durante il primo volo.;Οι αθροιστικές συλλήψεις της καρπόκαψας της μηλιάς κατά την πρώτη τους πτήση.;;;
adas.dss.0_0_4.models.CARPPO.output.result_parameters.First_Flight_Cumulative_Captures.title;First Flight Cumulative Captures;Kumulative fangster fra første flyvning;Erstflug - Kumulative Fänge;Cumulatieve vangsten tijdens de eerste vlucht;Kumulativni ulovi ob prvem letu;Kumulativ fangst fra første flyvning;Första flygningens sammanlagda fångster;;Viso sugauta per pirmąjį  skraidymą.;Captures cumulées du premier vol;Catture cumulative del primo volo;Αθροιστικές συλλήψεις πρώτης πτήσης;;;
